USERID,COUNT(*)
1126921,4
13738806,2
13738858,2
13738170,2
4271053,2
7074431,2
13743254,2
13743232,2
13744924,2
7023984,2
13745915,2
13740267,2
13747334,2
13746256,2
2067103,2
11621346,2
7908710,2
13742888,2
3287070,2
3366133,2
13741152,2
13739971,2
13738035,2
13742349,2
13738751,2
13739702,2
13740992,2
13741512,2
13747792,2
12273180,2
13746129,2
13738663,2
810112,2
13747961,2
13746605,2
5064179,2
1078618,2
2270740,2
13745958,2
924427,2
10991434,2
13746715,2
66336,2
13743085,2
13738600,2
13739119,2
520664,2
13743471,2
13746527,2
13746179,2
1734790,2
13740500,2
10576806,2
1917125,2
13737477,2
6187457,2
1608429,2
13726656,2
13741188,2
13744977,2
3096213,2
13738102,2
3954230,2
13738685,2
2693273,2
13743178,2
13745129,2
13741017,2
13747676,2
4332855,2
1297867,2
13639696,2
13743065,2
13746900,2
4354118,2
13744055,2
8737712,2
113616,2
5683839,2
13743578,2
13738995,2
10719125,2
13735370,2
12222831,2
10134613,2
13747795,2
13742342,2
10510437,2
13738812,2
13742072,2
2822959,2
11603595,2
13744575,2
13747810,2
13735269,2
13740697,2
13747441,2
13738006,2
13741693,2
13748077,2
13738616,2
13741535,2
5572023,2
2356819,2
13745910,2
13743162,2
1979903,2
4129458,2
13743402,2
13737379,2
13746700,2
13746773,2
6593213,2
13740193,2
13747236,2
5875450,2
13745723,2
9147438,2
9618323,2
13745781,2
8571960,2
11058135,2
7752420,2
8065200,2
10504657,2
13742981,2
13742780,2
13746255,2
2472199,2
13743803,2
13744072,2
10094902,2
2841452,2
11224483,2
4789453,2
9190884,2
13735097,2
9766924,2
13738574,2
13737986,2
13747034,2
13747555,2
4027201,2
13740649,2
70675,2
13741370,2
8645321,2
13735276,2
4739322,2
13742893,2
12037956,2
13747641,2
13746263,2
13746461,2
7178307,2
13745970,2
12026038,2
13519386,2
13739175,2
13739025,2
13739847,2
13745705,2
13745754,2
13744755,2
66212,2
11247390,2
13741314,2
2787756,2
13741321,2
9601502,2
13747629,2
13743749,2
686032,2
13740126,2
1955981,2
5474390,2
13742284,2
9752239,2
13741259,2
13739924,2
5630417,2
13743338,2
9357754,2
13741927,2
6924414,2
350735,2
352827,2
9499448,2
13744709,2
7756562,2
13746436,2
4373259,2
13744151,2
5032216,2
12507733,2
13743023,2
13735023,2
3690951,2
13744751,2
4155319,2
13746624,2
940193,2
13738241,2
13742311,2
13734926,2
13747975,2
1895076,2
1298886,2
13745084,2
7712767,2
3959730,2
11547047,2
10383766,2
13737797,2
13741933,2
9582330,2
4259195,2
8096128,2
6886345,2
13743037,2
6557188,2
13740398,2
1150772,2
13743505,2
13746745,2
13747854,2
8752589,2
1660971,2
13738780,2
5861762,2
13739880,2
10389732,2
4086611,2
13743694,2
3261619,2
962699,2
1846664,2
13738821,2
13748161,2
559214,2
9220724,2
13747850,2
9768495,2
5274471,2
948413,2
2309858,2
13747596,2
9005157,2
10560827,2
7332706,2
13743333,2
13747969,2
776322,2
13737977,2
11743705,2
7573882,2
13739424,2
13744661,2
13740784,2
13743271,2
9778541,2
13741077,2
5591764,2
1926226,2
13741476,2
7061363,2
13747197,2
13737792,2
13742168,2
3406721,2
4307421,2
5166098,2
5852661,2
13742796,2
13748013,2
3280555,2
13740618,2
4136091,2
5761123,2
13742525,2
4794364,2
9646947,2
4406834,2
13735399,2
13738245,2
6481168,2
12019064,2
13738313,2
5453093,2
13738908,2
10379894,2
13743488,2
13739413,2
13741999,2
13739840,2
11530684,2
13056588,2
1070696,2
13747169,2
13740034,2
13742412,2
13746577,2
13734704,2
11606861,2
13745627,2
11852087,2
13744451,2
13746995,2
13746856,2
13734841,2
13745148,2
11609941,2
13739797,2
1024011,2
2004403,2
13735577,2
9717522,2
13737214,2
13740464,2
13735232,2
13744707,2
13738336,2
13747310,2
1328030,2
5727308,2
13742841,2
2634878,2
5500635,2
13740517,2
13734620,2
4879597,2
2224945,2
1525259,2
12305537,2
13735191,2
13738205,2
7971227,2
13745518,2
2084643,2
3685305,2
13745451,2
13737417,2
2764777,2
13740204,2
13747287,2
6107003,2
13740794,2
13740749,2
13738542,2
2339000,2
637571,2
13737540,2
13744201,2
13745063,2
13740564,2
13739346,2
4114821,2
11662602,2
9382820,2
3431235,2
13742575,2
13743323,2
4490527,2
13744984,2
13746829,2
8187073,2
1545858,2
5498079,2
8235400,2
